altmetric_id,cited_by_fbwalls_count,cited_by_feeds_count,cited_by_gplus_count,cited_by_msm_count,cited_by_posts_count,cited_by_rdts_count,cited_by_tweeters_count,cited_by_videos_count
10025714,14,17,10,108,535,1,304,4
101767,23,26,6,61,400,1,188,4
10282275,26,12,2,47,976,0,834,4
1065504,785,5,3,16,1033,2,146,4
106634,3,18,2,29,132,0,54,4
10760415,83,13,5,171,1816,0,1420,4
1091361,3,1,0,46,77,0,16,3
1094401,16,12,5,7,395,1,316,2
110911,20,25,3,20,192,1,99,4
111022,22,16,8,13,609,2,335,3
1131304,32,15,15,8,337,0,227,4
114264,2,12,0,88,172,0,38,4
114551,1,22,9,32,112,0,30,4
11860150,24,16,8,130,413,1,177,4
11872120,20,25,1,256,1319,6,916,4
1188031,387,0,14,0,2318,0,1139,4
1201254,2,6,1,50,212,0,39,4
1208506,60,4,7,33,322,3,176,4
12284542,29,17,11,70,789,2,559,4
1231176,218,18,52,14,1381,8,980,4
12368137,43,2,2,73,456,3,316,3
1238021,40,22,16,15,863,5,627,2
1241824,130,19,29,7,3790,8,3425,3
124616,10,11,0,38,251,0,110,5
124988,35,12,2,21,356,0,224,4
12582341,10,13,5,70,353,0,226,3
1268902,96,19,23,50,1428,2,1129,4
127764,9,24,0,30,115,0,26,4
1294933,31,10,5,46,2109,1,1973,4
13096653,1,0,28,2,8850,3,8587,4
1314898,1,0,4,0,656,4,530,4
1329568,41,4,693,17,1020,1,49,4
1337391,66,2,3,30,1036,0,760,4
13473143,49,24,61,132,1081,1,728,4
13499617,9,9,0,118,310,1,136,3
1354986,157,20,63,11,1283,11,931,4
13569811,13,5,2,26,247,0,180,3
13578583,6,18,48,162,389,0,122,4
14447813,70,11,17,177,1059,2,624,4
14541869,16,16,10,64,778,1,567,4
1481341,145,3,16,13,672,1,381,3
1524561,6,3,6,40,104,0,24,5
15387525,32,24,6,59,755,6,482,4
154793,2,12,0,33,101,0,27,3
15834145,25,21,1,56,475,2,328,4
1597130,87,8,3,17,424,0,270,4
15992429,25,6,1,42,207,0,115,4
16032995,6,5,10,120,303,1,137,4
16220103,1,6,0,53,96,2,29,4
1630993,120,32,5,135,1605,3,829,4
16402528,24,46,4,185,965,0,443,4
1649177,97,27,26,85,1281,2,965,4
16560622,52,14,9,176,1626,5,1126,4
16580603,25,17,5,200,2252,1,1910,4
16902363,11,13,2,81,197,0,63,4
16908348,35,13,7,149,1597,2,1201,4
1691415,19,6,4,36,144,0,63,4
16939429,8,15,1,84,328,0,185,3
1705703,31,6,10,21,313,0,232,4
17130458,16,5,31,37,206,3,89,4
1718725,101,44,30,102,1975,8,1506,4
1736991,21,6,3,40,176,0,73,4
173763,68,17,8,59,544,0,293,4
18164390,40,28,3,90,1199,5,731,4
1817750,14,13,4,19,457,0,307,2
18187531,7,10,0,91,370,2,238,4
1819946,109,21,30,75,732,3,417,4
1853197,67,7,48,7,522,3,345,4
18554870,22,30,4,171,1057,4,750,4
18739747,8,12,5,111,348,3,182,4
18799204,18,23,13,220,778,2,315,4
18912601,12,9,5,108,391,1,156,4
1900936,57,27,1,68,552,1,304,4
1906383,19,34,22,75,1538,0,1227,4
19184000,16,8,10,111,330,0,139,4
193125,2,1,0,55,89,0,25,3
19532104,8,6,5,33,298,4,194,3
1969481,5740,16,197,22,12949,28,6064,4
1974345,31,6,11,90,586,1,358,4
1989795,30,53,33,102,771,0,433,4
19971956,22,21,3,137,515,0,234,4
200554,15,9,5,71,633,2,503,4
2021774,0,11,0,34,81,0,21,1
2021790,0,10,2,43,101,0,35,1
20389820,35,28,13,115,719,4,435,4
20454729,11,18,5,153,381,0,141,4
2045826,14,15,42,69,254,0,80,3
20475804,24,18,30,119,4954,7,3432,4
2068207,1056,30,120,39,5399,16,3817,4
2077499,12,7,3,101,320,1,150,4
20883989,93,16,11,72,1852,9,1540,4
2116196,8,19,56,69,411,3,215,4
21558301,2,9,8,38,246,0,123,5
2156937,35,71,10,80,1640,3,1067,4
2157032,169,4,24,8,2151,3,1108,3
2158716,77,5,12,14,566,2,388,4
21696141,15,2,3,9,751,1,652,4
2181528,214,7,9,20,1170,3,721,4
2191267,14,15,1,23,187,1,115,2
219191,13,22,3,100,339,4,119,3
2200257,8,7,5,33,166,1,88,4
220964,5,4,1,39,153,1,70,4
22199995,45,16,4,194,2247,2,1680,4
22203534,36,29,10,363,3821,3,2841,4
227251,91,19,27,28,813,3,576,4
22755664,24,16,11,308,7179,0,5712,4
2278729,23,21,12,78,673,2,486,4
22914441,47,18,7,39,1398,2,485,4
2324757,34,2,4,8,533,1,435,4
2326784,18,21,1,33,218,0,93,4
23533149,11,13,0,83,199,1,60,4
2380046,40,5,2,34,283,1,173,4
23839060,10,4,6,20,942,18,774,4
2389156,41,24,7,56,599,2,373,4
243697,35,61,10,100,656,3,328,4
245784,23,12,4,45,2273,0,1815,4
248070,33,9,10,33,271,3,148,3
2480754,31,28,7,61,305,2,140,4
24824750,21,19,7,244,622,4,207,4
25165400,15,9,1,34,3265,5,2910,4
