cited_by_fbwalls_count,cited_by_feeds_count,cited_by_gplus_count,cited_by_msm_count,cited_by_posts_count,cited_by_rdts_count,cited_by_tweeters_count,cited_by_videos_count,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,altmetric_id
4,1,0,1,33,0,16,4,"['216', '12515', '128', '1469']","['8', '641', '6', '84']","['0', '8', '1', '1']","['0', '0', '0', '0']","['0', '83', '1', '7']",1000058
6,0,0,0,85,0,60,4,"['905', '5275', '771', '1547']","['37', '171', '95', '57']","['0', '10', '0', '0']","['0', '0', '0', '0']","['2', '28', '27', '14']",1000632
5,13,2,7,76,0,17,4,"['745957', '22121', 0, '3423']","['22361', '88', 0, '19']","['393', '7', 0, '52']","['0', '0', 0, '0']","['1294', '15', 0, '107']",100234
14,17,10,108,535,1,304,4,"['854202', '720', '2756', '27']","['23282', '35', '279', '0']","['466', '1', '1', '0']","['0', '0', '0', '0']","['1108', '8', '44', '0']",10025714
0,2,0,0,13,0,7,1,"['484', '584', '291', '538']","['0', '1', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",1004345
1,18,0,4,61,2,10,5,"['144726', '40266', '4022', '944']","['6172', '4775', '225', '21']","['257', '29', '3', '1']","['0', '0', '0', '0']","['288', '173', '31', '6']",100604
1,0,0,0,37,0,19,1,"['104', '14092', '857', '575']","['0', '153', '5', '7']","['0', '3', '1', '0']","['0', '0', '0', '0']","['0', '3', '0', '1']",10087741
18,5,0,1,49,0,18,4,"[0, '3941', 0, '3087112']","[0, '14', 0, '2715']","[0, '0', 0, '90']","[0, '0', 0, '0']","[0, '5', 0, '198']",1009240
3,4,0,1,38,0,18,3,"[0, '2024', '106733', 0]","[0, 0, '2080', 0]","[0, 0, '83', 0]","[0, '0', '0', 0]","[0, '3', '238', 0]",1010632
33,3,3,13,344,0,249,4,[],[],[],[],[],1010994
53,7,5,13,238,0,136,4,"['3425', '635', '39', '4420']","['401', '73', '0', '108']","['4', '0', '0', '2']","['0', '0', '0', '0']","['40', '5', '0', '25']",101104
2,0,0,0,9,0,3,1,"['17264', '4318', '2543', '1736']","['128', '22', '13', '10']","['1', '0', '0', '0']","['0', '0', '0', '0']","['13', '3', '1', '0']",1011059
3,5,7,26,73,0,21,4,"['11930', '46', '66426', '633113']","['684', '7', '6139', '21846']","['9', '0', '46', '301']","['0', '0', '0', '0']","['80', '7', '375', '4221']",1012068
3,11,0,2,66,0,11,4,"['484053', '29084', '108', '239']","['12225', '1120', '0', '0']","['237', '14', '0', '1']","['0', '0', '0', '0']","['974', '191', '0', '0']",101222
3,10,0,14,272,1,70,3,"[0, '461495', '3423', '1684035']","[0, '13392', '19', '29784']","[0, '427', '52', '1279']","[0, '0', '0', '0']","[0, '1793', '107', '17602']",101244
10,18,0,2,119,1,70,3,"['241', '18804', '5257', '18349']","['49', '781', '286', '461']","['1', '20', '4', '4']","['0', '0', '0', '0']","['4', '76', '6', '58']",101303
2,0,0,0,20,0,12,3,[],[],[],[],[],1014100
7,2,8,8,101,1,60,4,"['40101', '232', 0, '680']","['2470', '27', 0, 0]","['18', '0', 0, 0]","['0', '0', 0, '0']","['197', '4', 0, 0]",1014510
14,2,0,3,43,0,17,4,"['5910', '70042', '17189', '5004']","['142', '1808', '498', '189']","['7', '182', '17', '3']","['0', '0', '0', '0']","['11', '240', '124', '21']",1015568
1,2,1,15,1410,0,1379,3,"['61637', '157', '15806', '6176']","['2339', '1', '21', '15']","['60', '0', '0', '0']","['0', '0', '0', '0']","['222', '0', '0', '0']",1015646
23,26,6,61,400,1,188,4,"['44688', '120669', '59082', '54']","['3287', '8398', '3304', '1']","['70', '93', '48', '0']","['0', '0', '0', '0']","['195', '1003', '475', '0']",101767
3,5,1,0,91,1,45,3,"['2013', '173', '238', '7314']","['209', '4', '6', '372']","['6', '1', '4', '12']","['0', '0', '0', '0']","['39', '13', '11', '147']",101775
6,2,0,0,17,0,1,3,"['13427', '1908', '20885', 0]","['1351', '139', '1235', 0]","['37', '5', '53', 0]","['0', '0', '0', 0]","['269', '82', '246', 0]",1018559
11,3,1,5,51,0,19,4,"['120', '1145', '7041', '510']","['5', '55', '335', '49']","['0', '6', '4', '0']","['0', '0', '0', '0']","['1', '37', '24', '9']",1019147
9,17,8,9,107,1,50,4,"['1573', '436', '321', '4320']","['40', '4', '1', '133']","['0', '0', '3', '179']","['0', '0', '0', '0']","['26', '1', '20', '51']",1020390
11,0,0,0,23,0,7,4,"['338', '3584', '133', '56783']","['28', '235', '8', '1432']","['10', '1', '1', '78']","['0', '0', '0', '0']","['16', '13', '2', '321']",1021021
6,0,0,0,13,0,2,2,"['2444', '4163', '3360', '160458']","['205', '270', '394', '4840']","['50', '56', '21', '2854']","['0', '0', '0', '0']","['51', '88', '30', '2083']",1021222
2,4,2,12,59,0,29,4,"['1672', '1088', '2516', '4518']","['65', '10', '57', '136']","['0', '2', '0', '35']","['0', '0', '0', '0']","['11', '5', '1', '56']",1022996
0,2,1,10,113,0,81,3,"['2960', '3741', '6286', '4490']","['154', '263', '326', '159']","['7', '4', '4', '5']","['0', '0', '0', '0']","['20', '43', '45', '21']",1024087
1,22,2,4,72,0,29,4,"['25271', '1338408', '103', '10344']","['2209', '42682', '10', '205']","['80', '7118', '0', '7']","['0', '0', '0', '0']","['493', '20850', '20', '27']",102415
11,0,1,1,38,0,17,2,"[0, 0, 0, '4792']","[0, 0, 0, '20']","[0, 0, 0, '0']","[0, 0, 0, '0']","[0, 0, 0, '1']",1024408
1,12,2,1,80,0,30,3,"['232', '33', '128816', '4171430']","['27', '0', '2784', '48527']","['0', '0', '139', '693']","['0', '0', '0', '0']","['4', '0', '643', '2969']",102446
0,1,0,0,7,0,2,1,"['797', '2030', '129', '907']","['3', '8', '0', '2']","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', 0]",10272258
2,0,0,0,6,0,0,4,"[0, 0, '2720', '7798']","[0, 0, '470', '153']","[0, 0, '9', '18']","[0, 0, '0', '0']","[0, 0, '20', '16']",1027756
26,12,2,47,976,0,834,4,"['69943', '67', '19406', '907']","['1039', '3', '526', '14']","['42', '0', '13', '0']","['0', '0', '0', '0']","['2', '0', '14', '3']",10282275
1,3,0,7,36,1,14,4,"[0, '66223', '55511', '18965']","[0, '2683', '940', '83']","[0, '39', '8', '50']","[0, '0', '0', '0']","[0, '398', '67', '69']",103073
2,9,0,18,72,2,25,4,"['87939', '66212', '2086680', '433430']","['7280', '2683', '38273', '9315']","['43', '39', '676', '156']","['0', '0', '0', '0']","['1257', '398', '2380', '1520']",103075
4,3,0,3,43,0,7,4,"['1768', '27115', '7461', '38']","['155', '1516', '99', '4']","['5', '29', '10', '0']","['0', '0', '0', '0']","['61', '76', '20', '0']",1031224
