Altmetrics_Id,youtube_links,viewCount,likeCount,dislikeCount,commentCount,cited_by_fbwalls_count,cited_by_gplus_count,cited_by_msm_count,cited_by_posts_count,cited_by_tweeters_count,cited_by_videos_count,cited_by_wikipedia_count,cited_by_accounts_count,title,doi
702709,https://www.youtube.com/watch?v=GSqdhz--yR8,3505,94,9,20,31,16,1,934,11,13,2,74,HLA genes in Macedonians and the sub-Saharan origin of the Greeks,10.1034/j.1399-0039.2001.057002118.x
403270,https://www.youtube.com/watch?v=2iqRF6mWj-A,29315,982,291,1011,9,2,1,699,98,58,2,174,Optimal low-density lipoprotein is 50 to 70 mg/dl,10.1016/j.jacc.2004.03.046
2394296,https://www.youtube.com/watch?v=j8eAMWh9UC8,60347,5708,103,1542,115,5,37,1211,376,54,2,599,"Beyond Meatless, the Health Effects of Vegan Diets: Findings from the Adventist Cohorts",10.3390/nu6062131
632123,https://www.youtube.com/watch?v=GpfLHrtdcS4,62,4,0,1,62,83,1,1036,169,48,0,365,Twenty questions on atherosclerosis,0
411425,https://www.youtube.com/watch?v=2iqRF6mWj-A,29315,982,291,1011,23,8,8,896,333,27,1,410,Low-carbohydrate diets and all-cause and cause-specific mortality: two cohort studies.,10.1059/0003-4819-153-5-201009070-00003
612624,https://www.youtube.com/watch?v=1c1Z1XOW9l4,936,59,2,10,30,1,2,520,57,33,1,131,Fat and carbohydrate overfeeding in humans: different effects on energy storage.,0
193445,https://www.youtube.com/watch?v=8RubMaTFuAA,39,3,0,0,41,0,1,671,153,39,0,239,Exposure to exogenous estrogen through intake of commercial milk produced from pregnant cows,10.1111/j.1442-200x.2009.02890.x
1294194,https://www.youtube.com/watch?v=AMuSsWbWJq0,128772,8620,709,3056,37,11,88,905,313,11,1,479,Atherosclerosis across 4000 years of human history: the Horus study of four ancient populations,10.1016/s0140-6736(13)60598-x
2907287,https://www.youtube.com/watch?v=OCp1b9pMDTI,3311,279,5,55,64,598,9,1507,174,13,0,862,"Dairy products, calcium, and prostate cancer risk: a systematic review and meta-analysis of cohort studies",10.3945/ajcn.113.067157
1520362,https://www.youtube.com/watch?v=fVJkzV1bfp0,354,28,1,10,3,0,0,374,16,9,0,30,Ten Years of Life,10.1001/archinte.161.13.1645
5341428,https://www.youtube.com/watch?v=Oe-EZs6HhcM,0,0,0,0,6,4,1,240,17,155,8,193,PT-Symmetric Quantum Field Theory,10.1063/1.3636813
170827,https://www.youtube.com/watch?v=EoTAEhTz8jI,3,1,0,0,302,190,57,2558,970,87,9,1633,Position of the American Dietetic Association: Vegetarian Diets,10.1016/j.jada.2009.05.027
32478049,https://www.youtube.com/watch?v=Hxq4jNx6DiA,1500,155,4,92,0,0,0,178,0,2,0,2,The Influence of Chain Length of the Saturated Fatty Acids on Their Effect on Serum Cholesterol Concentration in Man,10.1093/jn/74.4.420
29272114,https://www.youtube.com/watch?v=qpfdEYEirlw,498,50,4,26,9,6,0,298,36,138,26,218,Formate assay in body fluids: application in methanol poisoning.,0
430319,https://www.youtube.com/watch?v=1hkuKMicuXo,1518,9,0,2,4,11,1,172,0,3,0,19,Sense Making Under “Holographic” Conditions: Framing SCAD Research,10.1177/0002764209353272
3839875,https://www.youtube.com/watch?v=y0Iiz3Z7SKM,5,0,0,0,4,3,122,515,133,22,3,304,Autonomous Sensory Meridian Response (ASMR): a flow-like mental state,10.7717/peerj.851
