youtube_ids,status
2iqRF6mWj-A,A
42lNiOVFrhc,A
2Oag2IpeUjc,A
7Csem3LocpQ,A
GxiDNGKZZno,A
oWj3WFJ-iks,A
etFCEMiH15E,A
neIavVBy3tg,A
FAsADp4qq64,A
a3h2NxNolRQ,A
5ouIx2NQwWI,A
Is2iQljHC7U,A
3NfyWGo0S5c,A
AXQyaxK6OTg,A
xne-3AiDoj0,A
6sOmlboBdPM,A
4HL-aZMBbfE,A
rA-Qgupmrr4,A
YXv7yWZuSFg,A
av9cPojcz2Y,U
ceguusJeeuQ,A
sQsPn3sfSh4,A
QgwuM86lbnE,A
LJUre0d-ITw,A
7O_JJh_brW0,A
pnn3AKs-MY4,A
Dd4XTuBkCVA,A
CnBAZkErz3E,A
gMD8vbP6Cnc,A
GjLmhAKBTXo,U
9nPTDYqGcdE,U
5iwlctFVYkQ,A
1kUjqSKingc,A
ByJb2UBkqnk,A
LNsNu9wcELw,A
xR0BqBdc9t8,A
5j9x6_WONYU,A
GA_h27CzAHA,A
Jr-s2SMcZoA,A
suKnG75HjMs,A
6v5Sz5HnnIA,A
AzVD-v94J4E,A
qOGBSH82JyM,A
_wphthWfaO8,A
JkckqZL6tBQ,A
9jCaz4LO73E,A
MivsDWjle1w,A
Z_wNddut9oY,A
uRBm6Q8BeIM,A
95N-SenXtoM,A
bZ913S0zxOA,A
l2bAAeBntPU,A
smw4gEjyaDc,A
UYT0KIETFRA,A
yE-XPxI8Jw4,A
P7ayD1o8QA0,A
_secdaYS0C8,A
rrwwWVRI_IU,A
64Y5ofEko9o,A
e5HW_dqyRfM,A
qwXobdebAGQ,A
RtHbK-TxpO4,A
dfbBLRPhe9Y,A
gxgRtvMrdpg,A
G6Lz26ucdDc,A
voArdRLAbWs,A
oLJeygXpl9U,A
RKAmxT_C1PQ,A
Zd1igxKJsWs,A
UzYjEEB8Xyk,A
zh56SVaCGfM,A
AFvZGKhW0IQ,A
JUMVHJtrxXs,A
UQt7GT-9jJY,A
SeRiMnZfXXU,A
Hq8t2WbWs6Y,A
kz_dD2aOlL4,A
b13uRiAGxKU,A
xt6DhJUUfpw,A
NRTxAAZVpCE,A
Ho8dzZIwad4,A
Y4oNvtvr36M,A
czLPB1WvAJ4,U
8hhp4lEiTlU,A
IFqjw7fPgGo,A
3v-CARIgmeA,A
aP_giWsoYi4,A
99ceCCf2oH8,A
b-ZmMZp9kP8,A
8Wj0jm_8n24,A
whb1q5RXYfc,A
SdDXUD1XPOc,A
88hQcHx-Olw,A
0KlJW1hqyI8,A
VlZ7VEe9zyQ,A
OLFa-QvlQDc,A
IGkEs2jHkmQ,A
q0UvIxocuis,A
zPjeKjF0kNA,A
6K8WDcqwDsw,A
W4i2VoSEbFQ,A
Ufo1JZRfGJ0,A
Xh5eXBTpuH4,A
jJejqWamGD0,U
u6CePmLLeWM,A
N9AIwy7LOJU,A
1F38H4i436Q,U
RJ64zlGMhX4,A
V4o5Mxha70s,U
Pa2-f-n0tQY,A
D9XZ8rU-WQw,A
gabY-kiUaI0,U
Gqho__SSMho,A
aQQ7two1srA,A
3udyV9uuLuc,A
7lH8I0BAOzA,U
p9FgOXqupVc,A
2P1TA4g93AA,A
z0NJiYF4Ihw,U
5FaGbW1L-kE,A
N3EtPlyTIdU,U
Cm64ZpZ7bn0,A
AIXTmV--8Ds,A
g7rGey7Rxok,A
lN8CSXQHApc,A
ZNtcgs9l8Mw,A
Yq47Up6lrI0,A
Xk5bH77AZBU,A
4Y6L3MWIo3A,A
nZHf05gCY74,U
yHcOzvkyEjk,A
ECSTB0LmH1s,A
NdGtXuRGfHc,A
_JGBZhLUnsE,A
fhZDFnd1dHk,A
DZk5qVH-3U4,U
v3vohBUXXFI,A
T4ijVexEXU4,A
s7ktPhx4wYw,A
vwrNTqDhyNg,U
y5SQC7RtTgU,A
RQYJ9iUhtJk,U
o3aNC3vEo_4,A
clMbcSIPVAQ,A
AyX69Rb_sDw,A
uy20fJDRGg4,A
kgSiPyhUpHA,U
DtegEnPoJK8,A
WZQoxorKd68,A
k4u67mCypLY,U
E_eSLbX8kRQ,A
IHOKhbfdp-Y,A
hcFQzJbANe4,A
vTxfx4HOV3Y,A
H9QRSB7aI80,A
_IYDB1_t4Q0,U
xjmR8xMW41U,A
5pWFk4hykZw,A
mf4xWDFxCtM,A
NLX1XFFPZEI,U
VfQe1OOAR9k,A
MELE_HKRNws,A
ferwAQm6gkw,A
_Ps28E3clog,A
k1GrYB4Mp1I,A
sdMt9ucCJ10,A
ZKLLTj2-aL8,A
K9dxdTupk0E,A
8AoJoh2eQ5w,A
KapIx3ZuvmI,A
oZgH7ZUA6vg,A
ghM4ZijfwAY,A
fSX5ajlKBT4,U
PClhHKNPIVs,A
z5alun-9ZeQ,A
IM_UiQfFeko,A
-5fgpXIuvSo,A
_xBSyI6f8sY,A
ua2W-WpkFhA,A
4OGt9IzUT4M,A
u7LMd5CWVRs,A
zHu6ZqZJz7g,A
MBPakBwZSFA,A
A4KM6YdTJr8,A
R74_NDu7TnA,A
Yq7y1F8_7pA,U
FbqJ9rRJ0vg,U
K5yYwIAY1so,A
g8vjIwR89os,A
jhSXC3HQl-M,A
F5uFCDHw7Pc,A
mDlmhs-vSkw,A
ywsKWKXYZyM,U
giC4xbBZOtU,A
mDqa64N_dXw,A
udgRbieKxGg,A
iFawpuThCYA,A
QO1fmsvndm8,A
zlAKViVwaqk,A
kUTW2GZilD0,A
S6T9kkQhMLs,A
a6Pi0alweII,A
4cAAu_lb25Y,A
wcyTdC6VDIQ,A
D7pokm49plA,U
M1u5BlMXrOA,A
0nG1WFgtkJA,A
t79utTVqMeo,A
4Ku-GwRU9K4,A
g4hJg0UGJJM,A
0N-U84enlNU,A
IaEJvtriFns,A
GJtJDuHhR70,A
IrFTc6TZyv8,A
F18KdYAzEdw,A
WMxYUa1N1UA,A
kWaOX2aC9_A,U
WsfDDw2kVg0,A
p9anZS2GJ7s,A
zMvC5Qcb3TQ,A
kpiGkR3ixW8,U
pHwYPXXURpM,A
