altmetric_id,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
10025714,854202,23282,466,0,1108
10025714,720,35,1,0,8
10025714,2756,279,1,0,44
10025714,27,0,0,0,0
101767,44688,3287,70,0,195
101767,120669,8398,93,0,1003
101767,59082,3304,48,0,475
101767,54,1,0,0,0
10282275,69943,1039,42,0,2
10282275,67,3,0,0,0
10282275,19406,526,13,0,14
10282275,907,14,0,0,3
1065504,3629,503,7,0,10
1065504,502158,8723,188,0,287
1065504,245859,1932,217,0,139
1065504,0,0,0,0,0
106634,34,5,0,0,0
106634,1474186,41712,1031,0,1571
106634,68815,1068,39,0,124
106634,20536,228,10,0,9
10760415,6,0,0,0,0
10760415,227,12,0,0,0
10760415,180354,4,0,0,0
10760415,210,11,0,0,1
1091361,5896,252,5,0,181
1091361,3375,234,1,0,24
1091361,147743,4081,258,0,1077
1091361,49875,1558,66,0,560
1094401,625113,16666,1167,0,3505
1094401,3430,136,21,0,197
1094401,8022,205,27,0,94
1094401,4466,157,51,0,26
110911,1934377,83264,2972,0,8760
110911,527,0,0,0,0
110911,47311,0,0,0,43
110911,2230,299,4,0,31
111022,741,39,2,0,8
111022,34558,200,33,0,0
111022,23095,216,10,0,0
111022,4761,146,16,0,134
1131304,4083,97,26,0,10
1131304,2983,129,6,0,9
1131304,72377,1661,59,0,183
1131304,13622,51,0,0,8
114264,994853,38039,784,0,901
114264,1,0,0,0,0
114264,4155389,63260,7681,0,11778
114264,16794,59,17,0,21
114551,468447,33934,223,0,2260
114551,206307,9107,190,0,1291
114551,7353,476,3,0,94
114551,235135,420,17,0,81
11860150,56,3,0,0,0
11860150,27,2,0,0,0
11860150,1453,89,16,0,18
11860150,78,5,0,0,0
11872120,84,12,0,0,0
11872120,1841,32,0,0,2
11872120,106,1,0,0,0
11872120,250305,9391,141,0,663
1188031,3,0,0,0,2
1188031,57,6,0,0,3
1188031,1474,17,6,0,4
1188031,53294,0,0,0,0
1201254,234,13,1,0,2
1201254,32245,1221,18,0,41
1201254,70115,2605,122,0,92
1201254,5946137,131331,1875,0,6572
1208506,0,0,0,0,0
1208506,2761,193,1,0,4
1208506,491,24,0,0,4
1208506,3533,117,2,0,67
12284542,2305,89,2,0,12
12284542,348459,7921,300,0,1416
12284542,24,0,0,0,0
12284542,232165,7721,54,0,533
1231176,20943,650,26,0,76
1231176,0,0,0,0,0
1231176,1378,21,0,0,4
1231176,2065,12,0,0,1
12368137,22019,498,16,0,15
12368137,7380,174,6,0,47
12368137,10414,292,3,0,73
12368137,40222,376,19,0,152
1238021,96,8,0,0,20
1238021,32,0,0,0,0
1238021,128751,2782,139,0,646
1238021,218469,5130,243,0,1163
1241824,380,3,1,0,0
1241824,17,0,0,0,0
1241824,1297,6,0,0,2
1241824,64372,137,31,0,87
124616,70,30,0,0,4
124616,975,53,0,0,24
124616,2087,210,1,0,52
124616,122252,4852,239,0,486
124616,254921,5466,93,0,480
124988,1420,71,9,0,49
124988,4966,339,15,0,82
124988,0,0,0,0,0
124988,109,2,0,0,0
12582341,214966,8344,93,0,560
12582341,175144,787,8,0,77
12582341,564132,11534,439,0,740
12582341,58489,5790,79,0,584
1268902,223,19,0,0,0
1268902,1668,138,2,0,21
1268902,8715,179,8,0,7
1268902,1945,26,33,0,53
127764,425,47,0,0,17
127764,106815,2037,37,0,92
127764,94981,1447,26,0,130
127764,1679028,15920,439,0,757
1294933,655,65,2,0,5
1294933,0,0,0,0,0
1294933,1653,221,2,0,29
1294933,932071,26308,708,0,815
13096653,35,0,0,0,0
13096653,8711,477,47,0,108
13096653,0,0,0,0,0
13096653,8,0,0,0,0
1314898,0,0,0,0,0
1314898,0,0,0,0,0
1314898,0,0,0,0,0
1314898,0,0,0,0,0
1329568,98,14,0,0,7
1329568,190674,16497,179,0,1043
1329568,9,0,0,0,1
1329568,185,2,0,0,0
1337391,3703,227,1,0,22
1337391,302,26,1,0,8
1337391,116,5,0,0,1
1337391,19,0,0,0,0
13473143,44,0,0,0,2
13473143,35,0,0,0,0
13473143,622003,17775,111,0,434
13473143,346,8,0,0,1
13499617,100513,3594,177,0,442
13499617,608,1,1,0,0
13499617,12281,87,3,0,9
13499617,15334,70,0,0,9
1354986,0,0,0,0,0
1354986,0,0,0,0,0
1354986,44721,738,12,0,115
1354986,549166,4351,43,0,229
13569811,120,4,0,0,2
13569811,0,0,0,0,0
13569811,117126,5952,740,0,1581
13569811,0,0,0,0,0
13578583,202,23,0,0,10
13578583,5749,289,20,0,107
13578583,1227,62,2,0,0
13578583,281,8,0,0,0
14447813,24297,1161,49,0,430
14447813,101743,4677,119,0,896
14447813,13017,467,7,0,129
14447813,15567,1013,8,0,24
14541869,51,0,0,0,0
14541869,3528,55,1,0,22
14541869,88536,4150,28,0,203
14541869,18667,81,12,0,24
1481341,2282,419,6,0,21
1481341,161,32,0,0,0
1481341,339,45,2,0,8
1481341,41709,4290,57,0,426
1524561,6,1,0,0,0
1524561,122252,4852,239,0,486
1524561,10222,114,1,0,26
1524561,20841,563,47,0,85
15387525,7467,394,26,0,76
15387525,20,1,0,0,0
15387525,259991,13540,182,0,1316
15387525,451459,3615,338,0,156
154793,4989,188,3,0,21
154793,1846,65,0,0,8
154793,2445403,25673,6470,0,8103
154793,1401050,32428,286,0,7058
15834145,5406376,80162,2070,0,6784
15834145,18532,561,9,0,25
15834145,90086,1392,30,0,185
15834145,0,0,0,0,0
1597130,1859,220,2,0,26
1597130,49407,4127,43,0,616
1597130,30,3,0,0,0
1597130,180,4,1,0,0
15992429,70946,4686,98,0,1787
15992429,211,3,0,0,0
15992429,22965,949,7,0,60
15992429,12,2,0,0,0
16032995,28,0,0,0,0
16032995,0,0,0,0,0
16032995,0,0,0,0,0
16032995,96471,326,5,0,7
16220103,1411,44,1,0,10
16220103,848,179,1,0,17
16220103,17519,834,6,0,187
16220103,499112,13766,1119,0,4085
1630993,7094,527,10,0,103
1630993,501361,8226,226,0,387
1630993,41582,1335,14,0,89
1630993,65738,575,29,0,38
16402528,121513,7783,93,0,743
16402528,19,1,0,0,0
16402528,64742,3243,46,0,1296
16402528,2101,12,1,0,0
1649177,3034410,61675,1624,0,10759
1649177,2407,39,1,0,6
1649177,19414,1309,25,0,164
1649177,1425,2,2,0,2
16560622,355,32,3,0,6
16560622,173191,15143,135,0,870
16560622,0,0,0,0,0
16560622,29,3,0,0,1
16580603,64,0,0,0,0
16580603,14223,816,10,0,58
16580603,21,0,0,0,0
16580603,0,0,0,0,0
16902363,2454,176,4,0,11
16902363,2269,282,9,0,47
16902363,45,3,0,0,0
16902363,83,5,0,0,0
16908348,108556,5030,43,0,282
16908348,3817,291,3,0,30
16908348,42,2,0,0,0
16908348,19,2,0,0,0
1691415,196,2,1,0,2
1691415,25284,1100,140,0,111
1691415,1787263,39505,2217,0,4724
1691415,39933,492,26,0,71
16939429,472,48,7,0,256
16939429,512,30,4,0,62
16939429,22228,1652,79,0,186
16939429,19,2,0,0,0
1705703,1020208,57089,1147,0,4551
1705703,440288,14985,764,0,1252
1705703,283609,22028,190,0,1022
1705703,165970,3747,69,0,444
17130458,258945,6263,550,0,919
17130458,0,0,0,0,0
17130458,0,0,0,0,0
17130458,872,17,1,0,3
1718725,80993,1273,49,0,2
1718725,2505,61,10,0,9
1718725,0,0,0,0,0
1718725,213512,4999,158,0,1017
1736991,0,0,0,0,0
1736991,88372,3076,64,0,286
1736991,62490,3044,108,0,380
1736991,353,0,0,0,1
173763,3844,275,2,0,17
173763,7860,274,5,0,39
173763,1195,48,0,0,11
173763,47635,954,45,0,105
18164390,0,0,0,0,0
18164390,0,0,0,0,0
18164390,462,15,1,0,2
18164390,45585,0,0,0,0
1817750,2456,19,0,0,0
1817750,8406,3,0,0,0
1817750,5283,3,0,0,0
1817750,1127,0,0,0,0
18187531,3198,491,2,0,37
18187531,125337,761,181,0,56
18187531,2007,187,12,0,77
18187531,75,9,0,0,0
1819946,56,5,0,0,3
1819946,5,3,0,0,0
1819946,376,0,0,0,7
1819946,21321,263,15,0,60
1853197,859353,32353,903,0,816
1853197,3977695,40126,3692,0,4243
1853197,348043,10119,103,0,1123
1853197,115,1,0,0,0
18554870,1457,80,1,0,11
18554870,705286,19569,1143,0,2730
18554870,1421,94,2,0,14
18554870,225985,3605,1810,0,453
18739747,814,54,0,0,15
18739747,1182,32,0,0,3
18739747,76,12,0,0,0
18739747,8056,10,1,0,1
18799204,204,11,0,0,2
18799204,188939,6312,75,0,375
18799204,76,12,0,0,0
18799204,10075,427,14,0,63
18912601,44,5,0,0,0
18912601,26,6,0,0,0
18912601,242,14,0,0,0
18912601,404747,11176,220,0,772
1900936,0,0,0,0,0
1900936,13769,755,32,0,107
1900936,1999,6,0,0,1
1900936,38314,303,7,0,17
1906383,57492,4863,167,0,222
1906383,40416,4988,47,0,455
1906383,12756,219,374,0,389
1906383,486,2,0,0,0
19184000,200801,7461,126,0,838
19184000,24667,1769,17,0,85
19184000,69,8,0,0,0
19184000,22041,624,17,0,97
193125,2694,114,4,0,26
193125,13087,593,5,0,43
193125,2042,61,4,0,22
193125,29620,1603,39,0,248
19532104,66012,2131,103,0,796
19532104,161556,3102,67,0,325
19532104,0,0,0,0,0
19532104,58365,1844,32,0,329
1969481,2193,17,3,0,0
1969481,96,2,0,0,10
1969481,0,0,0,0,0
1969481,12276,215,15,0,62
1974345,12138,611,7,0,94
1974345,32208,182,5,0,6
1974345,0,0,0,0,0
1974345,0,0,0,0,0
1989795,4574,178,32,0,121
1989795,206841,19241,1559,0,1979
1989795,14475,138,7,0,25
1989795,2636,24,20,0,62
19971956,172,20,0,0,17
19971956,2828,73,3,0,9
19971956,18239,1841,42,0,82
19971956,25784,4020,15,0,111
200554,78845,3719,34,0,475
200554,550,26,3,0,5
200554,325,22,0,0,5
200554,409816,23613,244,0,744
2021774,12979,71,4,0,22
2021774,6691,27,3,0,12
2021774,19013,99,4,0,26
2021774,23126,49,4,0,11
2021790,12979,71,4,0,22
2021790,6691,27,3,0,12
2021790,19013,99,4,0,26
2021790,23126,49,4,0,11
20389820,491500,16291,255,0,733
20389820,90,7,0,0,2
20389820,0,0,0,0,0
20389820,0,0,0,0,0
20454729,496448,13335,336,0,1131
20454729,16095,924,21,0,30
20454729,787960,19087,297,0,808
20454729,1495,181,9,0,43
2045826,0,3,0,0,1
2045826,1007,2,0,0,0
2045826,1290,0,7,0,1
2045826,419850,1442,73,0,57
20475804,342799,12028,1038,0,1883
20475804,19561,853,50,0,136
20475804,35651,2113,26,0,384
20475804,0,0,0,0,0
2068207,165965,3747,69,0,444
2068207,127549,3091,65,0,230
2068207,59,1,0,0,0
2068207,8266,27,1,0,27
2077499,288468,9395,128,0,503
2077499,731,20,0,0,7
2077499,3916,69,10,0,6
2077499,5511,23,0,0,0
20883989,182087,7764,417,0,1171
20883989,241,27,1,0,8
20883989,258622,9051,310,0,463
20883989,1555,138,2,0,33
20883989,312600,10866,126,0,577
2116196,0,0,0,0,0
2116196,0,0,0,0,0
2116196,419354,11586,50,0,801
2116196,65399,336,8,0,42
21558301,36,7,0,0,2
21558301,498588,15899,229,0,2113
21558301,359,22,5,0,31
21558301,1230,54,7,0,18
21558301,6211,331,4,0,66
2156937,2475,90,4,0,10
2156937,150,3,3,0,2
2156937,153642,3993,80,0,583
2156937,2193414,63927,4262,0,27089
2157032,1418,212,13,0,153
2157032,1039,143,9,0,62
2157032,866,31,0,0,0
2157032,564,17,0,0,1
2158716,83,12,0,0,1
2158716,5647,261,2,0,39
2158716,2899,223,1,0,78
2158716,179,1,0,0,0
21696141,41664,1536,19,0,120
21696141,595147,0,0,0,0
21696141,341021,3634,280,0,634
21696141,235921,2581,70,0,323
2181528,64244,3596,128,0,344
2181528,42666,3629,88,0,326
2181528,23699,850,18,0,176
2181528,3791,206,62,0,116
2191267,5,3,0,0,0
2191267,8,1,0,0,0
2191267,0,0,0,0,0
2191267,0,0,0,0,0
219191,587,11,0,0,0
219191,32600,1844,79,0,562
219191,1512,65,0,0,2
219191,0,0,0,0,0
2200257,275,48,0,0,10
2200257,1944,48,0,0,5
2200257,0,0,0,0,0
2200257,124772,2349,144,0,565
220964,459,33,11,0,5
220964,9,1,0,0,0
220964,82,2,0,0,0
220964,11726,65,21,0,32
22199995,3608,96,11,0,22
22199995,75,0,0,0,0
22199995,1061,48,1,0,4
22199995,0,0,0,0,0
22203534,91,7,0,0,0
22203534,1295,42,0,0,4
22203534,515195,29813,375,0,1096
22203534,4290,174,0,0,9
227251,154,28,0,0,6
227251,0,0,0,0,0
227251,0,0,0,0,0
227251,6678,40,0,0,0
22755664,2003,66,21,0,27
22755664,93907,6273,1847,0,2257
22755664,12029,1452,48,0,185
22755664,1483548,62386,1899,0,12258
2278729,283341,11192,180,0,867
2278729,0,0,0,0,0
2278729,0,0,0,0,0
2278729,373,2,0,0,0
22914441,12694,515,41,0,94
